date_of_death,new_deaths,cumulative_deaths,data_as_of,data_loaded_at
05/26/2020 12:00:00 AM,1,46,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
05/27/2020 12:00:00 AM,0,46,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
05/28/2020 12:00:00 AM,0,46,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
05/29/2020 12:00:00 AM,1,47,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
05/30/2020 12:00:00 AM,0,47,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
05/31/2020 12:00:00 AM,1,48,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
06/01/2020 12:00:00 AM,0,48,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
06/02/2020 12:00:00 AM,0,48,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
06/03/2020 12:00:00 AM,0,48,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
06/04/2020 12:00:00 AM,0,48,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
06/05/2020 12:00:00 AM,1,49,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
06/06/2020 12:00:00 AM,0,49,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
06/07/2020 12:00:00 AM,0,49,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
06/08/2020 12:00:00 AM,0,49,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
06/09/2020 12:00:00 AM,0,49,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
06/10/2020 12:00:00 AM,0,49,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
06/11/2020 12:00:00 AM,0,49,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
06/12/2020 12:00:00 AM,1,50,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
06/13/2020 12:00:00 AM,1,51,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
06/14/2020 12:00:00 AM,0,51,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
06/15/2020 12:00:00 AM,0,51,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
06/16/2020 12:00:00 AM,0,51,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
06/17/2020 12:00:00 AM,0,51,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
06/18/2020 12:00:00 AM,1,52,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
06/19/2020 12:00:00 AM,0,52,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
06/20/2020 12:00:00 AM,0,52,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
06/21/2020 12:00:00 AM,0,52,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
06/22/2020 12:00:00 AM,0,52,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
06/23/2020 12:00:00 AM,0,52,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
06/24/2020 12:00:00 AM,0,52,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
06/25/2020 12:00:00 AM,0,52,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
06/26/2020 12:00:00 AM,0,52,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
06/27/2020 12:00:00 AM,0,52,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
06/28/2020 12:00:00 AM,0,52,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
06/29/2020 12:00:00 AM,0,52,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
06/30/2020 12:00:00 AM,0,52,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
07/01/2020 12:00:00 AM,0,52,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
07/02/2020 12:00:00 AM,0,52,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
07/03/2020 12:00:00 AM,0,52,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
07/04/2020 12:00:00 AM,0,52,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
07/05/2020 12:00:00 AM,1,53,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
07/06/2020 12:00:00 AM,1,54,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
07/07/2020 12:00:00 AM,0,54,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
07/08/2020 12:00:00 AM,0,54,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
07/09/2020 12:00:00 AM,0,54,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
07/10/2020 12:00:00 AM,0,54,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
07/11/2020 12:00:00 AM,0,54,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
07/12/2020 12:00:00 AM,1,55,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
07/13/2020 12:00:00 AM,1,56,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
07/14/2020 12:00:00 AM,1,57,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
07/15/2020 12:00:00 AM,1,58,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
07/16/2020 12:00:00 AM,1,59,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
07/17/2020 12:00:00 AM,1,60,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
07/18/2020 12:00:00 AM,1,61,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
07/19/2020 12:00:00 AM,0,61,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
07/20/2020 12:00:00 AM,0,61,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
07/21/2020 12:00:00 AM,1,62,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
07/22/2020 12:00:00 AM,1,63,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
07/23/2020 12:00:00 AM,1,64,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
07/24/2020 12:00:00 AM,0,64,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
07/25/2020 12:00:00 AM,0,64,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
07/26/2020 12:00:00 AM,1,65,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
07/27/2020 12:00:00 AM,1,66,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
07/28/2020 12:00:00 AM,3,69,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
07/29/2020 12:00:00 AM,1,70,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
07/30/2020 12:00:00 AM,0,70,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
07/31/2020 12:00:00 AM,0,70,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
08/01/2020 12:00:00 AM,3,73,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
08/02/2020 12:00:00 AM,0,73,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
08/03/2020 12:00:00 AM,1,74,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
08/04/2020 12:00:00 AM,0,74,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
08/05/2020 12:00:00 AM,1,75,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
08/06/2020 12:00:00 AM,0,75,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
08/07/2020 12:00:00 AM,2,77,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
08/08/2020 12:00:00 AM,0,77,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
08/09/2020 12:00:00 AM,1,78,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
08/10/2020 12:00:00 AM,2,80,08/20/2024 12:00:00 AM,08/29/2024 05:34:09 AM
